# genome1: Human
# genome2: Mouse
# genome3: Rat
# genome4: Chicken
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
1 1 909965 6879989 + 4 147497230 5303988 - 5 168028134 4962995 - 21 198133 2381594 -
2 1 8121992 2933746 + 4 145072452 2186160 - 5 165527060 2260416 - 21 2886654 1162764 +
3 1 11074402 725330 + 4 144498542 563127 - 5 164950841 565878 - 21 5226760 330872 -
4 1 18365319 1325172 + 4 136974266 951103 - 5 157740504 938786 - 21 4267906 410635 +
5 1 21877310 884138 + 4 134688658 706708 - 5 155401971 729665 - 21 5583074 488210 -
6 1 29025823 1175375 + 4 129035185 930681 - 5 149938091 926500 - 23 2230411 477105 +
7 1 30690444 654462 + 4 128403652 518263 - 5 149354111 468680 - 23 238147 348279 +
8 1 34736380 4009699 + 4 121926611 3357034 - 5 143210998 3510052 - 23 2820225 1135740 -
9 1 40737443 1139568 + 4 117899671 906569 - 5 140349683 917678 - 23 662087 683115 -
10 1 43043407 15331530 + 4 101295281 15465291 - 5 124271104 14834452 - 8 19912900 6643707 +
11 1 58490842 6236793 + 4 92884584 6290625 + 5 115251276 6606605 + 8 26567013 1882955 +
12 1 70855500 2090383 + 3 156693028 1624795 - 2 254039785 1687390 - 8 29281151 324040 +
13 1 75963007 12922755 + 3 143376004 11034463 - 2 240829663 10886526 - 8 15483354 4392385 -
14 1 90407388 2884275 + 5 103427980 2043974 + 14 2010147 2125546 - 8 14284329 855684 -
15 1 93420683 10133371 + 3 113711022 9359513 - 2 209444402 9789592 - 8 11421575 2829709 -
16 1 103678444 5234329 + 3 109016973 4505916 - 2 204136605 5070131 - 8 35201 1295476 +
17 1 111285207 3922282 + 3 102743986 3547794 - 2 197503243 3672738 - 26 1791860 828447 +
18 1 115540230 844054 + 3 101789936 707147 - 2 196532983 716116 - 1 74341889 303566 -
19 1 117807476 1468369 + 3 99160314 1305176 - 2 193507158 1582101 - 1 72465772 718972 -
20 1 160583948 2040801 + 1 168242057 1933873 - 13 83238510 2004447 - 8 5169527 329449 -
21 1 164075248 1157269 + 1 166001707 972671 - 13 81096436 971378 - 1 85302450 467729 -
22 1 166957568 2916979 + 1 162438798 2216441 - 13 77487832 2276532 - 8 4363027 747623 -
23 1 171073335 4621970 + 1 157720434 3967538 - 13 72383265 4228238 - 8 6453307 966079 -
24 1 180012180 2298493 + 1 152018890 2088388 - 13 66358861 2209476 - 8 7439054 594927 +
25 1 183519004 4517391 + 1 146662036 4329338 - 13 60234344 4536058 - 8 8088448 1822931 -
26 1 194297906 3820203 + 1 136603775 3257811 - 13 49323465 3578835 - 8 1338062 1249038 -
27 1 198393034 2030199 + 1 134525306 1840689 - 13 47174421 1916330 - 32 20053 723002 -
28 1 201259448 1825482 + 1 132046734 1657143 - 13 44688245 1635605 - 26 336823 601250 +
29 1 205078233 1970869 + 1 193720890 1860555 - 13 109184830 1959048 - 26 1285869 463323 +
30 1 208733847 10569512 + 1 184079407 8464807 - 13 99939331 8303596 - 3 14547057 4038228 -
31 1 225080960 460151 + 11 59625593 339223 - 10 45300621 354525 - 2 1642337 518129 -
32 1 226368082 2078335 + 8 123414954 1083462 + 19 53995965 1066369 + 3 36123738 742113 +
33 1 228507559 2623825 + 8 124508073 1249471 + 19 55072578 1299321 + 3 34696695 1229436 -
34 1 234093609 1012906 + 13 11526756 682359 - 17 68869960 729376 + 3 33528440 475826 -
35 1 237295447 6717409 + 1 175279410 5195209 + 13 90392967 5267842 + 3 30084923 2590062 -
36 2 35394 662827 + 12 24695920 514186 - 6 48444459 476028 - 3 90070819 415986 +
37 2 1656589 1363085 + 12 23128277 1013263 + 6 46904092 1007685 + 3 91195693 591039 -
38 2 3592451 20643796 + 12 4737032 17800434 - 6 28157332 18115506 - 3 92130001 10221302 +
39 2 26460771 515185 + 5 28386082 493527 + 6 25713204 452281 - 3 102994194 319940 +
40 2 27850822 658747 + 5 29739859 548555 + 6 24428420 578586 - 3 23755128 388539 -
41 2 29013388 2452460 + 17 70071949 2288212 + 6 21640044 2419940 - 3 8544598 922813 +
42 2 32477495 1321338 + 17 73050395 1065397 + 6 19790157 1109777 - 3 27343465 641900 -
43 2 34441959 1193992 + 17 74706438 1086271 + 6 17895584 1263107 - 3 29304599 342916 -
44 2 36162891 1122201 + 17 76326334 1124007 + 6 441666 1176895 + 3 28320774 838772 -
45 2 42447174 4347104 + 17 82074127 3627331 + 6 6754662 3704008 + 3 20011384 3064066 +
46 2 47570927 1145895 + 17 86328751 966377 + 6 11176575 1268636 + 3 8203545 329692 -
47 2 48768679 2589147 + 17 87333155 2625241 + 6 12472545 3074555 + 3 9504442 1162059 +
48 2 54630725 7109394 + 11 23339681 7115586 - 14 103956473 7489754 - 3 47996 2691799 -
49 2 62690836 5975988 + 11 17035156 5608963 - 14 97844785 5372027 - 3 5843371 2237265 -
