# genome1: Human
# genome2: Mouse
# genome3: Rat
# genome4: Chicken
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
0 1 923263 34266 + 4 152775215 17272 - 5 172969637 9230 - 21 2548631 5315 +
0 1 1021135 6164 + 4 152707530 17040 - 5 172897078 5682 - 21 2478299 4677 -
0 1 1044947 3200 + 4 152691548 2567 - 5 172879746 2324 - 21 2457242 6308 -
0 1 1058370 15099 + 4 152658098 18035 - 5 172850036 13248 - 21 2429655 12792 -
0 1 1073703 1847 + 4 152656448 1400 - 5 172845266 977 - 21 2427940 1034 -
0 1 1083986 4142 + 4 152627544 4311 - 5 172811833 3989 - 21 2380827 7886 -
0 1 1095352 19918 + 4 152609057 13880 - 5 172797874 9012 - 21 2364931 2823 -
0 1 1194130 5845 + 4 152505005 4336 - 5 172708775 3554 - 21 2147374 14711 -
0 1 1215168 1470 + 4 152483894 1413 - 5 172695300 966 - 21 2132655 2079 -
0 1 1288703 5360 + 4 152455735 5213 - 5 172668546 4221 - 21 2108585 2558 -
0 1 1322482 5065 + 4 152421569 5227 - 5 172637962 4077 - 21 2075993 3817 -
0 1 1398957 22509 + 4 152392927 20429 - 5 172609583 19596 - 21 2054109 17158 -
0 1 1428456 33195 + 4 152357176 28537 - 5 172571492 30014 - 21 2015935 22017 -
0 1 1579666 1880 + 4 152302710 2729 - 5 172497464 2476 - 21 1927798 8855 -
0 1 1582469 21591 + 4 152276938 25049 - 5 172470881 25625 - 21 1911727 12471 -
0 1 1611978 13750 + 4 152262047 8751 - 5 172450318 13770 - 21 1904294 4400 -
0 1 1630975 28830 + 4 152214455 28589 - 5 172417468 14346 - 21 1876781 12073 -
0 1 1665027 105765 + 4 152143425 66446 - 5 172366364 32318 - 21 1848747 11714 -
0 1 1936113 50126 + 4 151914074 99224 - 5 172072320 107216 - 21 1696921 39136 -
0 1 2029547 79322 + 4 151804552 6780 - 5 171967284 3718 - 21 1576694 89779 -
0 1 2205656 7767 + 4 151716637 4707 - 5 171879511 4445 - 21 1449562 3417 -
0 1 2231190 75192 + 4 151633523 59407 - 5 171799304 25861 - 21 1368670 58809 -
0 1 2309388 18060 + 4 151614026 16708 - 5 171777536 16486 - 21 1332760 19633 -
0 1 2330465 551 + 4 151610791 777 - 5 171774364 767 - 21 1323409 8330 -
0 1 2391842 21215 + 4 151518775 25945 - 5 171700259 13280 - 21 1285072 21483 -
0 1 3190075 40920 + 4 150826108 81950 - 5 171033062 27868 - 21 910369 22391 -
0 1 3330323 19297 + 4 150791543 14337 - 5 171114254 6018 - 21 881105 12469 -
0 1 3352112 80727 + 4 150704599 49293 - 5 170862165 23460 - 21 849043 26455 -
0 1 3451945 19247 + 4 150674017 17081 - 5 170823775 13875 - 21 843451 2027 -
0 1 3479767 16283 + 4 150663384 5404 - 5 170814009 3411 - 21 838888 3189 -
0 1 3511635 45125 + 4 150625686 30395 - 5 170776478 29360 - 21 824968 13901 -
0 1 3556827 28139 + 4 150612069 9623 - 5 170761473 11042 - 21 821933 2933 -
0 1 3588685 11113 + 4 150606451 1842 - 5 170755968 1771 - 21 818132 1812 -
0 1 5632417 129662 + 4 149115017 84992 - 5 169727636 79628 - 21 598976 10573 -
0 1 5990801 14777 + 4 148934261 9735 - 5 169537218 6207 - 21 545118 2849 -
0 1 6324980 33905 + 4 148664543 10654 - 5 169266625 11569 - 21 522064 4142 -
0 1 6403777 67629 + 4 148570363 47486 - 5 169173498 43918 - 21 484202 13905 -
0 1 6554954 982495 + 4 147699427 85752 - 5 168225750 117776 - 21 265005 219045 -
0 1 7554260 60522 + 4 147641341 39877 - 5 168162967 34663 - 21 239083 16121 -
0 1 7617221 5816 + 4 147633726 4713 - 5 168153539 5230 - 21 230124 3118 -
0 1 7731339 23543 + 4 147533771 12708 - 5 168060523 10071 - 21 210042 4758 -
0 1 7781329 14585 + 4 147491702 13814 - 5 168022866 13271 - 21 201491 2072 -
0 1 8099745 14018 + 4 147266160 14814 - 5 167795150 14416 - 21 163199 9195 -
0 1 8122003 465067 + 4 147043065 213053 - 5 167450312 335332 - 21 2889284 6064 +
0 1 8715492 29200 + 4 146823647 14209 - 5 167346368 14689 - 21 3083333 4240 +
0 1 8772980 66236 + 4 146757129 47800 - 5 167250672 77219 - 21 3091210 7597 +
0 1 8898165 467 + 4 146723664 14716 - 5 167216030 16855 - 21 3105728 7780 +
0 1 9004409 30065 + 4 146615387 3444 - 5 167106075 15921 - 21 3151385 5854 +
0 1 9062487 76650 + 4 146532761 1490 - 5 167024707 8414 - 21 3193407 5370 +
0 1 9421364 75286 + 4 146284957 49651 - 5 166747135 13239 - 21 3322959 20460 +
0 1 9498632 95498 + 4 146223138 61548 - 5 166714558 29188 - 21 3349462 23185 +
0 1 9700003 6220 + 4 146121635 11332 - 5 166579279 8366 - 21 3427101 8745 +
0 1 9713054 39654 + 4 146104901 16697 - 5 166560243 6378 - 21 3438052 2599 +
0 1 9766808 18815 + 4 146085989 5291 - 5 166538813 4406 - 21 3445031 1957 +
0 1 9803208 147629 + 4 145964719 98332 - 5 166417284 101334 - 21 3449781 34359 +
0 1 10000368 147638 + 4 145812624 131301 - 5 166260639 114252 - 21 3494950 73874 +
0 1 10168683 21063 + 4 145786295 16680 - 5 166232065 15026 - 21 3574413 9684 +
0 1 10199705 21900 + 4 145764651 9233 - 5 166209175 12913 - 21 3585711 2070 +
0 1 10230151 11940 + 4 145740552 15041 - 5 166189333 11549 - 21 3591616 2692 +
