#scaffold_rep start length strand startPos_on_A
>Strain 1
1 1 47309 + 0
2 47310 1535 + 0
3 48845 2181 + 0
4 54149 3316 + 0
5 59358 1244 + 0
6 60617 647678 + 0
A 703435 4859 - 1
7 708295 1878273 + 0
8 2610342 1238 + 0
9 2613867 325738 + 0
10 2964430 76661 + 0
11 3042450 12438 + 0
12 3058107 1531 + 0
13 3067665 216579 + 0
14 3284244 250021 + 0
15 3539202 909579 + 0
16 4448781 292747 + 0
17 4741530 4132 + 0
18 4765671 18608 + 0
19 4790784 187385 + 0
20 5021972 1336 + 0
21 5023308 157689 + 0
22 5180997 298826 + 0
A 5180998 4859 + 1
23 5479823 235548 + 0
24 5715371 2126 + 0
25 5717497 535907 + 0
A 5718269 4859 + 1
26 6257851 2799 + 0
27 6270697 550123 + 0
A 6615245 4859 + 1
28 6826719 944 + 0
29 6829644 21311 + 0
>Strain 2
1 1 47279 + 0
3 48553 2181 + 0
4 50734 2955 - 0
6 53689 645787 + 0
A 694614 4861 - 1
7 699476 1696736 + 0
28 2400701 944 - 0
9 2420521 314489 + 0
2 2743781 1535 + 0
26 2755879 2754 - 0
10 2761450 74706 + 0
12 2837370 8656 + 0
11 2851681 6287 + 0
13 2857968 242501 + 0
24 3100469 1860 + 0
14 3132581 272425 + 0
5 3411515 1237 + 0
15 3412827 824908 + 0
20 4240075 523 + 0
16 4247926 230246 + 0
19 4479871 178221 + 0
21 4662646 168334 + 0
22 4830980 298470 + 0
A 4830981 4861 + 1
17 5151358 21845 + 0
18 5176723 20040 + 0
8 5213387 1225 - 0
23 5233988 176351 + 0
A 5410340 4827 + 35
25 5410340 542734 + 0
27 5953074 446635 + 0
A 6195893 4861 + 1
29 6399709 21302 + 0
>Strain 3
1 1 47246 + 0
2 47247 1535 + 0
3 48782 2181 + 0
4 50963 2991 - 0
6 57815 646802 + 0
A 699756 4860 - 1
21 704617 158218 - 0
20 862835 1347 - 0
19 864649 184722 - 0
18 1049371 22118 - 0
5 1072321 1244 + 0
17 1077806 19302 - 0
16 1126534 227597 - 0
15 1354131 793313 - 0
14 2150613 270200 - 0
13 2458306 246211 - 0
11 2704517 6283 - 0
12 2716455 8656 - 0
10 2726325 76070 - 0
26 2802395 2799 + 0
9 2806255 356224 - 0
8 3162479 1235 + 0
7 3169296 1684658 - 0
22 4853954 299361 + 0
A 4853955 4861 + 1
23 5153315 172558 + 0
24 5325873 2126 + 0
25 5327999 539663 + 0
A 5328771 4861 + 1
28 5868145 944 + 0
27 5875044 445679 + 0
A 6115996 4830 + 1
29 6320723 21312 + 0
